Zin_Zsun,Zeq_Zsun,Zg_baseline_final_Zsun,Zg_kmt_final_Zsun,fH2_final,MH2_final_Msun,Mgas_kmt_final_Msun,Mstar_kmt_final_Msun,SFR_kmt_peak_Msun_yr,SFR_kmt_final_Msun_yr,Max_pointwise_SFR_diff_vs_Zin0_percent,Time_max_SFR_diff_Gyr
0.0,0.6512890094979646,0.6498863888957376,0.6536370648636273,0.6598365455616688,3129957947.3109474,4743535301.832443,62905847282.1726,2.190675315742092,2.129213214680977,0.0,0.0
0.05,0.7012890094979646,0.6994228326141095,0.7040235007937696,0.6712210770389422,3104200666.3745728,4624706780.765284,62970662839.11837,2.2133107089921573,2.1294446520601316,1.2841502027467246,1.48
0.1,0.7512890094979646,0.748959276799118,0.7543259320777941,0.6816740099846945,3081344558.391344,4520261170.673837,63027633171.8955,2.234392342831122,2.129759947632695,2.4497345966718096,1.42
0.3,0.9512890094979646,0.9471050521705693,0.9549871064632188,0.7162819591439713,3009833703.8991213,4202023610.222117,63201217295.77827,2.3046075531598564,2.131059401388305,6.264622232176416,1.26
0.5,1.1512890094979646,1.1452508271994999,1.1551702769075662,0.7427380362854481,2958479931.4886646,3983207789.2287526,63320571379.95646,2.358501591505835,2.131994625254905,9.186454117945205,1.1500000000000001
1.0,1.6512890094979644,1.6406152660378166,1.654926238860771,0.7886452501376813,2874578644.8871107,3644957786.00742,63505071381.713554,2.453903599314628,2.1330941489414674,14.407443030145107,0.97
